year,geo_abr,geo_name,question,value,topic,unit,break_out,indicator
2013,AZ,Arizona,Dental director position type,,Leadership,multiple choice,,Dental director position type
2015,WV,West Virginia,"Number of health agencies serving jurisdictions of 250,000+ population",2,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2013,WY,Wyoming,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2020,MS,Mississippi,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2020,SD,South Dakota,Requirement or mandate for a dental health screening or certificate at school entry,No,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2011,NJ,New Jersey,"Number of health agencies serving jurisdictions of 250,000+ population",3,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2011,MA,Massachusetts,Current state dental director,Yes,Leadership,,,Current state dental director
2012,RI,Rhode Island,Special populations programs,,Programs,,For older adults,Special populations programs: For older adults
2014,MO,Missouri,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2019,VA,Virginia,System for children with cleft lips/cleft palates,Yes,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2014,FL,Florida,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2019,RI,Rhode Island,Prevention Programs,No,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2017,WA,Washington,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2012,HI,Hawaii,"Number of health agencies serving jurisdictions of 250,000+ population",,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2018,ME,Maine,Requirement or mandate for a dental health screening or certificate at school entry,No,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2013,MD,Maryland,Current state dental director,Yes,Leadership,,,Current state dental director
2017,UT,Utah,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2018,MO,Missouri,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2016,AK,Alaska,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,2,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2018,CA,California,"Number of health agencies serving jurisdictions of 250,000+ population",4,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2017,NV,Nevada,Current state dental director,Yes,Leadership,,,Current state dental director
2013,AZ,Arizona,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2012,WV,West Virginia,State dental director/program manager position requirement,,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2017,RI,Rhode Island,State dental director/program manager position requirement,Yes,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2019,AR,Arkansas,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2019,OR,Oregon,Prevention Programs,No,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2020,MO,Missouri,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,8.5,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2013,AZ,Arizona,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2016,KY,Kentucky,Years in current dental director position,8,Leadership,years,,Years in current dental director position
2017,NY,New York,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2013,WV,West Virginia,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,10,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2016,OK,Oklahoma,System for children with cleft lips/cleft palates,No,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2016,WV,West Virginia,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,15.1,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
